"Community","2014 Data"
"Allendale/Irvington/S. Hilton","16.6"
"Baltimore City","16.4"
"Beechfield/Ten Hills/West Hills","20.3"
"Belair-Edison","17.5"
"Brooklyn/Curtis Bay/Hawkins Point","19.7"
"Canton","13.1"
"Cedonia/Frankford","19.4"
"Cherry Hill","13.3"
"Chinquapin Park/Belvedere","16.1"
"Claremont/Armistead","19.4"
"Clifton-Berea","14.6"
"Cross-Country/Cheswolde","18.6"
"Dickeyville/Franklintown","22.2"
"Dorchester/Ashburton","16.1"
"Downtown/Seton Hill","22.0"
"Edmondson Village","21.4"
"Fells Point","12.1"
"Forest Park/Walbrook","21.4"
"Glen-Fallstaff","17.1"
"Greater Charles Village/Barclay","17.8"
"Greater Govans","17.5"
"Greater Mondawmin","17.4"
"Greater Roland Park/Poplar Hill","9.6"
"Greater Rosemont","16.1"
"Greenmount East","15.0"
"Hamilton","12.9"
"Harbor East/Little Italy","11.6"
"Harford/Echodale","17.1"
"Highlandtown","11.4"
"Howard Park/West Arlington","17.1"
"Inner Harbor/Federal Hill","11.0"
"Lauraville","14.6"
"Loch Raven","25.1"
"Madison/East End","16.5"
"Medfield/Hampden/Woodberry/Remington","18.7"
"Midtown","14.1"
"Midway/Coldstream","19.1"
"Morrell Park/Violetville","18.1"
"Mount Washington/Coldspring","13.0"
"North Baltimore/Guilford/Homeland","11.4"
"Northwood","17.8"
"Oldtown/Middle East","9.1"
"Orangeville/East Highlandtown","18.8"
"Patterson Park North & East","17.0"
"Penn North/Reservoir Hill","19.9"
"Pimlico/Arlington/Hilltop","20.7"
"Poppleton/The Terraces/Hollins Market","9.6"
"Sandtown-Winchester/Harlem Park","16.1"
"South Baltimore","14.5"
"Southeastern","15.9"
"Southern Park Heights","13.8"
"Southwest Baltimore","13.8"
"The Waverlies","15.9"
"Upton/Druid Heights","9.8"
"Washington Village/Pigtown","16.3"
"Westport/Mount Winans/Lakeland","23.7"
