"Community","2014 Data"
"Allendale/Irvington/S. Hilton","15.9"
"Baltimore City","26.2"
"Beechfield/Ten Hills/West Hills","29.2"
"Belair-Edison","21.8"
"Brooklyn/Curtis Bay/Hawkins Point","17.0"
"Canton","61.7"
"Cedonia/Frankford","20.6"
"Cherry Hill","7.7"
"Chinquapin Park/Belvedere","27.5"
"Claremont/Armistead","16.9"
"Clifton-Berea","10.8"
"Cross-Country/Cheswolde","33.7"
"Dickeyville/Franklintown","14.6"
"Dorchester/Ashburton","24.2"
"Downtown/Seton Hill","25.0"
"Edmondson Village","16.9"
"Fells Point","51.5"
"Forest Park/Walbrook","22.5"
"Glen-Fallstaff","23.8"
"Greater Charles Village/Barclay","17.8"
"Greater Govans","17.7"
"Greater Mondawmin","20.2"
"Greater Roland Park/Poplar Hill","60.8"
"Greater Rosemont","12.5"
"Greenmount East","9.8"
"Hamilton","41.2"
"Harbor East/Little Italy","34.2"
"Harford/Echodale","32.0"
"Highlandtown","48.0"
"Howard Park/West Arlington","22.4"
"Inner Harbor/Federal Hill","55.8"
"Lauraville","40.9"
"Loch Raven","17.6"
"Madison/East End","11.5"
"Medfield/Hampden/Woodberry/Remington","34.6"
"Midtown","25.6"
"Midway/Coldstream","15.3"
"Morrell Park/Violetville","19.8"
"Mount Washington/Coldspring","50.6"
"North Baltimore/Guilford/Homeland","52.3"
"Northwood","33.1"
"Oldtown/Middle East","8.6"
"Orangeville/East Highlandtown","21.8"
"Patterson Park North & East","40.3"
"Penn North/Reservoir Hill","15.5"
"Pimlico/Arlington/Hilltop","17.6"
"Poppleton/The Terraces/Hollins Market","9.5"
"Sandtown-Winchester/Harlem Park","10.6"
"South Baltimore","57.6"
"Southeastern","15.4"
"Southern Park Heights","11.6"
"Southwest Baltimore","11.9"
"The Waverlies","21.0"
"Upton/Druid Heights","5.3"
"Washington Village/Pigtown","26.6"
"Westport/Mount Winans/Lakeland","19.9"
