"Community","2014 Data"
"Allendale/Irvington/S. Hilton","23.1"
"Baltimore City","19.5"
"Beechfield/Ten Hills/West Hills","11.8"
"Belair-Edison","18.1"
"Brooklyn/Curtis Bay/Hawkins Point","28.4"
"Canton","2.8"
"Cedonia/Frankford","17.4"
"Cherry Hill","41.8"
"Chinquapin Park/Belvedere","12.5"
"Claremont/Armistead","16.5"
"Clifton-Berea","29.7"
"Cross-Country/Cheswolde","9.1"
"Dickeyville/Franklintown","21.8"
"Dorchester/Ashburton","18.4"
"Downtown/Seton Hill","15.8"
"Edmondson Village","21.1"
"Fells Point","3.5"
"Forest Park/Walbrook","20.5"
"Glen-Fallstaff","16.9"
"Greater Charles Village/Barclay","25.8"
"Greater Govans","19.2"
"Greater Mondawmin","14.6"
"Greater Roland Park/Poplar Hill","2.6"
"Greater Rosemont","21.7"
"Greenmount East","27.7"
"Hamilton","8.5"
"Harbor East/Little Italy","39.6"
"Harford/Echodale","11.0"
"Highlandtown","12.5"
"Howard Park/West Arlington","18.0"
"Inner Harbor/Federal Hill","5.3"
"Lauraville","8.3"
"Loch Raven","13.7"
"Madison/East End","29.3"
"Medfield/Hampden/Woodberry/Remington","8.3"
"Midtown","8.7"
"Midway/Coldstream","26.6"
"Morrell Park/Violetville","12.1"
"Mount Washington/Coldspring","6.0"
"North Baltimore/Guilford/Homeland","5.3"
"Northwood","9.3"
"Oldtown/Middle East","51.4"
"Orangeville/East Highlandtown","12.3"
"Patterson Park North & East","26.0"
"Penn North/Reservoir Hill","31.1"
"Pimlico/Arlington/Hilltop","19.9"
"Poppleton/The Terraces/Hollins Market","52.2"
"Sandtown-Winchester/Harlem Park","33.3"
"South Baltimore","4.3"
"Southeastern","25.6"
"Southern Park Heights","36.6"
"Southwest Baltimore","35.4"
"The Waverlies","16.8"
"Upton/Druid Heights","49.5"
"Washington Village/Pigtown","25.1"
"Westport/Mount Winans/Lakeland","28.0"
