"Community","2014 Data"
"Allendale/Irvington/S. Hilton","35.6"
"Baltimore City","32.7"
"Beechfield/Ten Hills/West Hills","20.1"
"Belair-Edison","32.7"
"Brooklyn/Curtis Bay/Hawkins Point","33.6"
"Canton","9.4"
"Cedonia/Frankford","30.1"
"Cherry Hill","53.2"
"Chinquapin Park/Belvedere","29.5"
"Claremont/Armistead","35.5"
"Clifton-Berea","49.0"
"Cross-Country/Cheswolde","19.3"
"Dickeyville/Franklintown","41.2"
"Dorchester/Ashburton","31.1"
"Downtown/Seton Hill","31.9"
"Edmondson Village","32.4"
"Fells Point","14.9"
"Forest Park/Walbrook","36.4"
"Glen-Fallstaff","34.0"
"Greater Charles Village/Barclay","44.3"
"Greater Govans","35.4"
"Greater Mondawmin","34.3"
"Greater Roland Park/Poplar Hill","11.4"
"Greater Rosemont","40.1"
"Greenmount East","53.0"
"Hamilton","19.4"
"Harbor East/Little Italy","38.3"
"Harford/Echodale","22.6"
"Highlandtown","20.4"
"Howard Park/West Arlington","31.2"
"Inner Harbor/Federal Hill","19.9"
"Lauraville","15.9"
"Loch Raven","24.5"
"Madison/East End","47.4"
"Medfield/Hampden/Woodberry/Remington","19.2"
"Midtown","36.0"
"Midway/Coldstream","41.0"
"Morrell Park/Violetville","37.3"
"Mount Washington/Coldspring","16.3"
"North Baltimore/Guilford/Homeland","18.3"
"Northwood","20.6"
"Oldtown/Middle East","67.2"
"Orangeville/East Highlandtown","32.1"
"Patterson Park North & East","24.6"
"Penn North/Reservoir Hill","40.4"
"Pimlico/Arlington/Hilltop","40.7"
"Poppleton/The Terraces/Hollins Market","62.0"
"Sandtown-Winchester/Harlem Park","51.3"
"South Baltimore","11.9"
"Southeastern","38.5"
"Southern Park Heights","48.4"
"Southwest Baltimore","50.1"
"The Waverlies","41.4"
"Upton/Druid Heights","64.4"
"Washington Village/Pigtown","36.1"
"Westport/Mount Winans/Lakeland","37.7"
